;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
W25X80V,     0xEF3014, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
SST25VF032B, 0XBF254A, 0x2000000,  0x1000, 0x20, 1, 0, 0x60, 50
SST25VF040B, 0xBF258D, 0x400000,   0x1000, 0x20, 1, 0, 0x60, 50
SST25VF080B, 0xBF258E, 0x800000,   0x1000, 0x20, 1, 0, 0x60, 50
SST25VF064C, 0xBF254B, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 50
EN25Q40,     0x1C3013, 0x400000,   0x1000, 0x20, 64, 0, 0x60, 80000
EN25F80,     0x1C3114, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q80A,    0x1C3014, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 80000
EN25F16,     0x1C3115, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25F32,     0x1C3116, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q32B,    0x1C3016, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q64,     0x1C3017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q128,    0x1C3018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q16(A),  0x1C3015, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH16,    0x1C7015, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH32,    0x1C7016, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH256,   0x1C7019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH128,   0x1C7018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH64,    0x1C7017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH80,    0x1C7014, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 80000
EN25F64,     0x1C3117, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
GD25Q80,     0xC84014, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q16,     0xC84015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q32,     0xC84016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q64,     0xC84017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
FM25Q16,     0xF83215, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 50000
FM25Q32,     0xF83216, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
FM25Q64,     0xF83217, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 100000
FM25Q128,    0xF83218, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 150000
A25L016,     0x373015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
A25L032,     0x373016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
A25LQ32A,    0x374016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
S25FL016K,   0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
S25FL032K,   0xEF4016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
S25FL064K,   0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
Pm25LQ080C,  0x7F9D44, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
Pm25LQ016C,  0x7F9D45, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
Pm25LQ032C,  0x7F9D46, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
Pm25LV080B,  0x7F9D13, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
Pm25LV016B,  0x7F9D13, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
